ipaddr DST_IP,ipaddr SRC_IP,time TIME_FIRST,time TIME_LAST,uint32 PORT_CNT,uint16 DST_PORT,uint16 SRC_PORT,uint8 EVENT_TYPE,uint8 PROTOCOL
4.2.5.21,47.5.21.82,2016-02-10T19:06:20.235,2016-02-10T19:21:08.431,150,5098,9915,1,6
88.5.17.23,1.8.9.39,2016-02-10T19:10:28.000,2016-02-10T19:21:17.334,400,37640,47031,1,6
98.4.48.85,1.8.9.39,2016-02-10T19:10:45.908,2016-02-10T19:18:30.327,400,39479,37288,1,6
69.7.18.27,1.8.9.39,2016-02-10T19:11:38.879,2016-02-10T19:21:58.336,2100,24619,52524,1,6
69.7.18.27,1.8.9.40,2016-02-10T19:11:45.900,2016-02-10T19:22:01.930,2100,24654,52524,1,6
1.8.9.39,98.4.48.82,2016-02-10T19:11:15.355,2016-02-10T19:21:53.437,800,3214,53696,1,6
1.8.9.39,98.4.48.82,2016-02-10T19:11:02.223,2016-02-10T19:21:02.714,550,55343,37288,1,6
1.8.9.39,45.2.78.90,2016-02-10T19:11:02.791,2016-02-10T19:21:38.563,650,24738,29033,1,6
1.8.9.39,98.4.48.84,2016-02-10T19:11:16.275,2016-02-10T19:21:03.418,500,25417,37288,1,6
1.8.9.39,73.9.14.62,2016-02-10T19:11:05.270,2016-02-10T19:21:29.811,450,54232,20552,1,6
